date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:57:26	1053/1053	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Sep%202018%2006:57:24%20GMT	http://localhost/robots.txt		(from )
09:57:30	163782/163782	---MC-	200	added ('OK')	text/html	date:Fri,%2028%20Sep%202018%2006:57:25%20GMT	http://localhost/miviaje/	C:/My%20Web%20Sites/patricia/localhost/miviaje/index.html	(from )
09:57:30	1743/1743	---M--	200	added ('OK')	text/css	etag:%226cf-5752d7e9c5678%22	http://localhost/miviaje/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0.4	C:/My%20Web%20Sites/patricia/localhost/miviaje/wp-content/plugins/contact-form-7/includes/css/styles5560.css	(from http://localhost/miviaje/)
09:57:30	11232/11232	---M--	200	added ('OK')	text/css	etag:%222be0-57468e6aac5e8%22	http://localhost/miviaje/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.6-78496d1	C:/My%20Web%20Sites/patricia/localhost/miviaje/wp-includes/js/mediaelement/mediaelementplayer-legacy.min45a0.css	(from http://localhost/miviaje/)
09:57:31	4068/4068	---M--	200	added ('OK')	text/css	etag:%22fe4-57468e6b181b4%22	http://localhost/miviaje/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=4.9.8	C:/My%20Web%20Sites/patricia/localhost/miviaje/wp-includes/js/mediaelement/wp-mediaelement.min5010.css	(from http://localhost/miviaje/)
09:57:31	20452/20452	---M--	200	added ('OK')	image/jpeg	etag:%224fe4-575a910755ff3%22	http://localhost/miviaje/wp-content/uploads/2018/09/planty-8.jpg	C:/My%20Web%20Sites/patricia/localhost/miviaje/wp-content/uploads/2018/09/planty-8.jpg	(from http://localhost/miviaje/)
09:57:32	5848/5848	---M--	200	added ('OK')	text/css	etag:%2216d8-557e90c3eec00%22	http://localhost/miviaje/wp-content/themes/salient/css/rgs.css?ver=8.5.4	C:/My%20Web%20Sites/patricia/localhost/miviaje/wp-content/themes/salient/css/rgs055d.css	(from http://localhost/miviaje/)
09:57:32	31000/31000	---M--	200	added ('OK')	text/css	etag:%227918-57491a7e53035%22	http://localhost/miviaje/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0	C:/My%20Web%20Sites/patricia/localhost/miviaje/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min1849.css	(from http://localhost/miviaje/)
09:57:34	855855/855855	---M--	200	added ('OK')	text/css	etag:%22d0f2f-56d5358423380%22	http://localhost/miviaje/wp-content/themes/salient/style.css?ver=8.5.5	C:/My%20Web%20Sites/patricia/localhost/miviaje/wp-content/themes/salient/stylee69e.css	(from http://localhost/miviaje/)
09:57:35	735/735	---M--	200	added ('OK')	application/rss+xml	etag:%2221b1f19f3fb6399e13d9821df0ddef4e%22	http://localhost/miviaje/home-basic/feed/	C:/My%20Web%20Sites/patricia/localhost/miviaje/home-basic/feed/index.html	(from http://localhost/miviaje/)
